2	-1
-1	np
3	-1
0	1
1	3
2	3
4	-1
-1	np
5	-1
0	1 4 2
1	1 4
2	12 3 2
3	12 3 2
4	1 4
6	-1
-1	np
7	-1
0	1 6
1	1 6
2	6 2
3	1 2
4	1 2
5	6 2
6	1 6
8	-1
-1	np
9	-1
-1	np
10	-1
-1	np
11	-1
0	5 4 20 1
1	5 4 20 6 1
2	5 15 7 1 3
3	10 7 2
4	11
5	2 4 15 5 1 3 10
6	5 4 15 10 1 3 2
7	11
8	10 7 2
9	5 15 7 1 3
10	5 4 20 6 1
12	-1
-1	np
13	-1
0	6 1 3 2
1	12 2
2	1 6
3	1 6
4	3 18
5	1 3 2
6	1 2
7	1 2
8	1 3 2
9	3 18
10	1 6
11	1 6
12	12 2
14	-1
-1	np
15	-1
-1	np
16	-1
-1	np
17	-1
0	4 1 16 2
1	5 1 16 9 144 8 2
2	24 11 6
3	9 8 32
4	11 176 16 1 48 3 2
5	8 15 2
6	1 16 14
7	5 4 7 1 112 32 16
8	4 12 6 1 8 16
9	12 4 6 1 8 16
10	5 4 7 1 32 16 112
11	1 16 14
12	8 15 2
13	3 48 16 1 176 11 2
14	9 8 32
15	24 11 6
16	5 1 16 9 8 144 2
18	-1
-1	np
19	-1
0	1 18
1	5 1 18
2	18 1 2
3	1 18
4	18 2
5	1 2 6
6	2 6 1 18
7	6
8	3 54
9	1 4 18
10	1 4 18
11	3 54
12	6
13	18 6 1 2
14	1 2 6
15	18 2
16	1 18
17	18 1 2
18	5 1 18
20	-1
-1	np
21	-1
-1	np
22	-1
-1	np
23	-1
0	5 55 1 11
1	5 55 1 11
2	5 2 55 22 1 11 10
3	11 15 22 1 3 2
4	2 4 44 22 33 11 3
5	5 17 1 187 11
6	6 1 33 3 66 110 11 10
7	13 143 9 1 11
8	4 44 22 17 2
9	4 1 16 11
10	5 12 132 6 66
11	5 4 44 55 22 8 2
12	5 4 44 22 55 8 2
13	5 12 132 6 66
14	4 1 16 11
15	4 44 22 17 2
16	13 143 9 1 11
17	6 1 33 3 66 110 11 10
18	5 17 1 187 11
19	3 4 44 22 33 11 2
20	2 15 22 1 3 11
21	5 2 55 22 1 11 10
22	5 55 1 11
24	-1
-1	np
25	-1
-1	np
26	-1
-1	np
27	-1
-1	np
28	-1
-1	np
29	-1
0	28 84 6 1 2
1	12 3 26
2	1 28
3	14 27 2
4	4 1 16 112 2 28 14 8
5	1 28 26
6	42 20 28 6 1 4 2
7	1 28
8	364 3 26
9	2 28 126 14 8 1 18
10	84 3 26
11	1 28
12	84 70 1 3 2 44 28 11 10
13	15 14
14	76 7 14 1 28 19 2
15	76 7 14 1 28 19 2
16	15 14
17	84 70 1 3 2 44 28 11 10
18	1 28
19	84 3 26
20	18 28 14 126 8 1 2
21	364 3 26
22	1 28
23	2 20 4 6 1 28 42
24	1 28 26
25	4 1 112 16 2 28 14 8
26	14 27 2
27	1 28
28	12 3 26
30	-1
-1	np
31	-1
0	4 60 30 1
1	5 50
2	2 30 1 3 90
3	10 2
4	4 30 1 3 18
5	90 1 3 10
6	1 30
7	1 10 6
8	1 8 6
9	30 2
10	30 2
11	2 6 1 10
12	1 30
13	10 6 1 30 3 2
14	5 150 1 30
15	6 2
16	6 2
17	5 150 1 30
18	10 6 1 30 3 2
19	1 30
20	2 6 1 10
21	30 2
22	30 2
