2	-1
-1	np
3	-1
0	1 3
1	1 6 2
2	2
4	-1
-1	np
5	-1
0	1 2
1	1 4
2	1 4
3	1
4	2
6	-1
-1	np
7	-1
0	1 3
1	6 2
2	6 2
3	1 6 2
4	6 2
5	1 6 2
6	1 6 2
8	-1
-1	np
9	-1
-1	np
10	-1
-1	np
11	-1
0	5 10 1 2
1	5 30 1 3
2	4
3	3 30
4	1 10
5	4 20
6	4
7	1 4 5
8	1 10 2
9	10 20 1 2
10	5 20 1 2
12	-1
-1	np
13	-1
0	1 6
1	6 2
2	24 2
3	6 2
4	1 12 2
5	24 2
6	24 2
7	1 12 3
8	1 12 3
9	6 2
10	1 12 2
11	1 12 3
12	1 12 2
14	-1
-1	np
15	-1
-1	np
16	-1
-1	np
17	-1
0	1 4
1	1 16 3
2	1 48 3 16
3	1 8 16
4	3
5	48 3
6	1 16 32 2
7	1 16
8	4 32
9	16 1 8 32 2
10	1 8 2
11	32 2
12	1 2
13	32 2
14	16 2
15	4 1 24 3
16	1 8 16 2
18	-1
-1	np
19	-1
0	1 9 3
1	18 1 9 2
2	1 9
3	1 9
4	6 1 3 18
5	1 3 18
6	6 1 3 18
7	18 1 9 2
8	5 45 2
9	6 1 3 18
10	18 4 2
11	18 1 9 2
12	5 45 2
13	18 4 2
14	1 9
15	18 4 2
16	1 3 18
17	1 3 18
18	5 45 2
20	-1
-1	np
21	-1
-1	np
22	-1
-1	np
23	-1
0	5 55 1 11
1	1 11 22
2	77 7
3	22 1 11 2
4	44 2
5	22 1 3 66
6	1 3 66
7	1 11
8	44 22 1 2
9	4 44 22 1 11
10	5 110
11	66 22 3 2
12	33 3
13	4 44 1 88 2
14	1 11
15	44 22 1 3 2
16	44 22 1 2
17	66 6
18	6 1 11 66
19	33 3
20	4 22 88 2
21	1 11 22
22	1 11 2
24	-1
-1	np
25	-1
-1	np
26	-1
-1	np
27	-1
-1	np
28	-1
-1	np
29	-1
0	14 1 3 42
1	4 28 14 1 2
2	28 7 1 56 2
3	28 14 1 2
4	6
5	6
6	3
7	56 2
8	84 14 1 3
9	1 28 7
10	84 3
11	1 28
12	56 2
13	1 14
14	84 28 1 3
15	4 7 28 1 2
16	1 28
17	1
18	4 7 1 112
19	2
20	1 2
21	3 42
22	1 4
23	28 14 1 2
24	21 28 1 3
25	21 3
26	56 2
27	7 1 56 2
28	7 1 8 2
30	-1
-1	np
31	-1
0	5 10 1 2
1	10 2
2	1 10
3	1 10 2
4	5 15 1 3
5	10 2
6	5 25 2
7	5 15 1 3
8	1 5
9	1 5
10	1 10
11	5 7 70 1
12	15 1 3 10
13	1 10 2
14	1 5
15	1 10 2
16	9 90
17	4 20 1 3
18	9 90
19	1 10
20	5 15 1 3
21	15 1 3 10
22	4 20 1 3
23	4 20 1 3
24	5 7 70 1
25	10 2
26	5 25 2
27	5 7 70 1
28	9 90
29	15 1 3 10
30	5 25 2
32	-1
-1	np
33	-1
-1	np
34	-1
-1	np
35	-1
-1	np
36	-1
-1	np
37	-1
0	1 3 18
1	18 12 3 2
2	4 72
3	1 4 36
4	1 4 36
5	1 36 2
6	36 1 72 2
7	36 1 9 3 18
8	36 1 72 2
9	36 1 72 9 2
10	18 12 3 2
11	18 36 9 1 3 2
12	36 1 72 9 2
13	1 36 2
14	5 45
15	4 72
16	36 1 72 9 2
17	1 9
